location,sex,population2010,meanpopulation,population2011
Cascais,HM,206302,206616,206929
Cascais,H,96816,96977,97137
Cascais,M,109486,109639,109792
Lisboa,HM,548566,547696,546825
Lisboa,H,251448,250942,250436
Lisboa,M,297118,296754,296389
Loures,HM,204927,205211,205495
Loures,H,98278,98305,98331
Loures,M,106649,106907,107164
Mafra,HM,76663,76748,76832
Mafra,H,37337,37355,37372
Mafra,M,39326,39393,39460
Odivelas,HM,144457,144705,144952
Odivelas,H,68860,68884,68907
Odivelas,M,75597,75821,76045
Oeiras,HM,172025,172049,172072
Oeiras,H,80166,80115,80064
Oeiras,M,91859,91934,92008
Sintra,HM,378001,378575,379149
Sintra,H,180935,181147,181358
Sintra,M,197066,197429,197791
Vila Franca de Xira,HM,136883,136976,137068
Vila Franca de Xira,H,65850,65859,65868
Vila Franca de Xira,M,71033,71117,71200
Península de Setúbal,HM,780075,779619,779162
Península de Setúbal,H,374162,373611,373060
Península de Setúbal,M,405913,406008,406102
Alcochete,HM,17555,17573,17591
Alcochete,H,8494,8502,8509
Alcochete,M,9061,9072,9082
Almada,HM,174400,174134,173868
Almada,H,82757,82570,82383
Almada,M,91643,91564,91485
Barreiro,HM,78906,78709,78511
Barreiro,H,37456,37311,37166
Barreiro,M,41450,41398,41345
Moita,HM,66064,66053,66042
Moita,H,31747,31721,31694
Moita,M,34317,34333,34348
Montijo,HM,51222,51251,51279
Montijo,H,24748,24746,24744
Montijo,M,26474,26505,26535
Palmela,HM,62858,62799,62740
Palmela,H,30515,30447,30378
Palmela,M,32343,32353,32362
Seixal,HM,158290,158398,158506
Seixal,H,76016,76004,75991
Seixal,M,82274,82395,82515
Sesimbra,HM,49513,49504,49494
Sesimbra,H,24335,24309,24283
Sesimbra,M,25178,25195,25211
Setúbal,HM,121267,121199,121131
Setúbal,H,58094,58003,57912
Setúbal,M,63173,63196,63219
Alentejo,HM,758411,756454,754497
Alentejo,H,367337,366249,365161
Alentejo,M,391074,390205,389336
Alentejo Litoral,HM,98068,97883,97697
Alentejo Litoral,H,48705,48569,48432
Alentejo Litoral,M,49363,49314,49265
Alcácer do Sal,HM,13067,13029,12991
Alcácer do Sal,H,6342,6322,6302
Alcácer do Sal,M,6725,6707,6689
Grândola,HM,14872,14817,14762
Grândola,H,7536,7490,7443
Grândola,M,7336,7328,7319
Odemira,HM,26097,26039,25981
Odemira,H,13188,13144,13100
Odemira,M,12909,12895,12881
Santiago do Cacém,HM,29784,29735,29686
Santiago do Cacém,H,14603,14574,14545
Santiago do Cacém,M,15181,15161,15141
Sines,HM,14248,14263,14277
Sines,H,7036,7039,7042
Sines,M,7212,7224,7235
Alto Alentejo,HM,118619,118095,117571
Alto Alentejo,H,56910,56631,56352
Alto Alentejo,M,61709,61464,61219
Alter do Chão,HM,3578,3557,3535
Alter do Chão,H,1685,1675,1664
Alter do Chão,M,1893,1882,1871
Arronches,HM,3133,3096,3058
